ORG_CODE_ID,ORG_NAME,TRANSFER_EVENT_ID,TRANSFER_EVENT_TYPE,TRANSFER_COURSE_NAME,MMU_EVENT_ID,MMU_EVENT_TYPE,MMU_COURSE_NAME
"O000040428","North Iowa Area Community College","AUT704","Lecture","Automotive Heating and Air Conditioning","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT603","Lecture","Basic Automotive Electricity","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","AUT654","Lecture","Advanced Electrical-Automotive","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ASL928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART422","Lecture","Glass II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART420","Lecture","Glass I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART405","Lecture","Jewelry: Metalsmithing I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART407","Lecture","Jewelry: Metalsmithing II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ART928","Lecture","Independent Study","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ASL271","Lecture","American Sign Language IV","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ASL924","Lecture","Honors Project","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ASL241","Lecture","American Sign Language III","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ASL141","Lecture","American Sign Language I","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","ASL171","Lecture","American Sign Language II","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA152","Lecture","Comprehensive Spreadsheets","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA167","Lecture","Comprehensive Databases","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA138","Lecture","Advanced Word Processing Applications","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA135","Lecture","Introduction to Word Processing","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA136","Lecture","Advanced Word Processing","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA177","Lecture","Comprehensive Presentation Software","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA212","Lecture","Introduction to Computer Business Applic","OT","Lecture","Generic Course"
"O000040428","North Iowa Area Community College","BCA213","Lecture","Intermediate Computer Business Applicati","OT","Lecture","Generic Course"
